[['A', 'F', 'S', 'D', 'H', 'K', 'R', 'O', 'N', 'P', 'T', 'I', 'E', 'J', 'Q', 'L', 'C', 'B', 'G', 'M'], 1731]
[['H', 'F', 'M', 'R', 'K', 'S', 'A', 'O', 'I', 'T', 'P', 'N', 'E', 'J', 'Q', 'L', 'C', 'B', 'G', 'D'], 1735]
[['D', 'G', 'A', 'K', 'R', 'M', 'S', 'C', 'I', 'T', 'P', 'N', 'E', 'J', 'Q', 'L', 'O', 'B', 'F', 'H'], 1736]
[['H', 'F', 'B', 'R', 'K', 'S', 'M', 'O', 'I', 'T', 'P', 'N', 'E', 'J', 'Q', 'L', 'C', 'A', 'G', 'D'], 1737]
[['D', 'F', 'A', 'M', 'S', 'K', 'R', 'O', 'I', 'T', 'P', 'N', 'E', 'J', 'Q', 'L', 'C', 'B', 'G', 'H'], 1739]
[['H', 'G', 'A', 'M', 'K', 'S', 'R', 'O', 'N', 'P', 'T', 'I', 'J', 'E', 'Q', 'L', 'C', 'B', 'F', 'D'], 1741]
[['D', 'G', 'A', 'S', 'R', 'M', 'K', 'C', 'I', 'T', 'P', 'N', 'E', 'J', 'Q', 'L', 'O', 'B', 'F', 'H'], 1741]
[['D', 'G', 'A', 'M', 'S', 'E', 'O', 'K', 'I', 'T', 'P', 'N', 'R', 'J', 'Q', 'L', 'C', 'B', 'F', 'H'], 1743]
[['H', 'G', 'A', 'K', 'S', 'M', 'R', 'D', 'I', 'T', 'P', 'N', 'E', 'J', 'Q', 'L', 'C', 'B', 'F', 'O'], 1745]
[['S', 'G', 'A', 'D', 'E', 'K', 'R', 'O', 'N', 'P', 'T', 'I', 'H', 'J', 'Q', 'L', 'C', 'B', 'F', 'M'], 1749]
[['H', 'G', 'A', 'M', 'K', 'S', 'R', 'O', 'I', 'T', 'P', 'N', 'J', 'E', 'Q', 'L', 'C', 'B', 'F', 'D'], 1752]
[['S', 'F', 'B', 'M', 'H', 'K', 'R', 'O', 'I', 'T', 'P', 'N', 'E', 'J', 'Q', 'L', 'C', 'A', 'G', 'D'], 1757]
[['S', 'M', 'A', 'D', 'H', 'K', 'R', 'O', 'I', 'P', 'T', 'N', 'E', 'J', 'Q', 'L', 'C', 'B', 'G', 'F'], 1759]
[['H', 'F', 'A', 'M', 'K', 'S', 'R', 'O', 'I', 'P', 'T', 'N', 'E', 'J', 'Q', 'L', 'C', 'B', 'G', 'D'], 1761]
[['D', 'G', 'A', 'M', 'S', 'E', 'O', 'R', 'N', 'T', 'P', 'I', 'K', 'J', 'Q', 'L', 'C', 'B', 'F', 'H'], 1761]
[['H', 'F', 'B', 'M', 'S', 'K', 'R', 'O', 'I', 'T', 'P', 'N', 'E', 'J', 'Q', 'L', 'C', 'A', 'G', 'D'], 1763]
[['M', 'F', 'B', 'R', 'K', 'S', 'H', 'O', 'I', 'T', 'P', 'N', 'E', 'J', 'Q', 'L', 'C', 'A', 'G', 'D'], 1764]
[['S', 'F', 'A', 'M', 'H', 'K', 'R', 'O', 'N', 'T', 'D', 'I', 'E', 'J', 'Q', 'L', 'C', 'B', 'G', 'P'], 1764]
[['A', 'F', 'S', 'D', 'H', 'K', 'R', 'O', 'I', 'P', 'T', 'N', 'E', 'J', 'Q', 'L', 'C', 'B', 'G', 'M'], 1766]
[['H', 'G', 'M', 'R', 'K', 'S', 'A', 'O', 'I', 'T', 'P', 'N', 'E', 'J', 'Q', 'L', 'C', 'B', 'F', 'D'], 1766]
[['D', 'G', 'A', 'H', 'R', 'E', 'O', 'K', 'I', 'T', 'P', 'N', 'S', 'J', 'Q', 'L', 'C', 'B', 'F', 'M'], 1769]
